query,level,implicit_keywords,hard_constraints,req_flight,req_car,req_hotel,req_attraction,cities_count,implicit_keywords_count,balance,impossible,total_score
"I'm arranging a round trip tour for 4 travelers from London to Bari, Otopeni for disabled traveler and luxury travelers and road trip. We'll stay 6 days, need 2 hotel room(s), and our collective budget is 6666. We'd like to rent a Compact that seats 4 people, about 56.14 USD per day.",hard,"['disabled traveler', 'luxury travelers', 'road trip']","{'person_num': 4, 'budget': '6666', 'days': 6}","{'departure_city': 'London', 'arrival_city': ['Bari', 'Otopeni'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '56.14', 'car_type': 'Compact', 'capacity': '4'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['disabled traveler', 'luxury travelers', 'road trip']}",1.0,0.0,7
"I need advice on a round trip trek for 2 travelers from Chicago to Albuquerque, Dallas-Fort Worth, Portland for luxury travelers and road trip and photography. We'll stay 9 days, need 1 hotel room(s), and our collective budget is 6666. Maybe stay at Albuquerque Boutique Inn 19, which is well rated and has 5.0-star, for about 142.0 USD per night.",hard,"['luxury travelers', 'road trip', 'photography']","{'person_num': 2, 'budget': '6666', 'days': 9}","{'departure_city': 'Chicago', 'arrival_city': ['Albuquerque', 'Dallas-Fort Worth', 'Portland'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Albuquerque Boutique Inn 19', 'price': '142.0', 'star': '5.0', 'rating': '9.4', 'rooms_count': '1'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['luxury travelers', 'road trip', 'photography']}",1.0,0.0,8
"I'd love to take a one way journey from New York to San Diego, Sacramento for disabled traveler and foodie and luxury travelers. I'll stay 6 days, need 1 hotel room(s), and my budget is 6666. It would be great to visit Coral Cove Lagoon & Tidepool Exploration while in San Diego.",hard,"['disabled traveler', 'foodie', 'luxury travelers']","{'person_num': 1, 'budget': '6666', 'days': 6}","{'departure_city': 'New York', 'arrival_city': ['San Diego', 'Sacramento'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': ['Coral Cove Lagoon & Tidepool Exploration']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['disabled traveler', 'foodie', 'luxury travelers']}",1.0,0.0,7
"Interested in a round trip journey from Denver to Albuquerque, Minneapolis, San Diego for photography and with pets and elderly travelers. I'll stay 9 days, need 1 hotel room(s), and my budget is 6666. I'd like to rent a Sedan that seats 5 people, about 72.85 USD per day.",hard,"['photography', 'with pets', 'elderly travelers']","{'person_num': 1, 'budget': '6666', 'days': 9}","{'departure_city': 'Denver', 'arrival_city': ['Albuquerque', 'Minneapolis', 'San Diego'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '72.85', 'car_type': 'Sedan', 'capacity': '5'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '1'}",{'name': []},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['photography', 'with pets', 'elderly travelers']}",1.0,0.0,8
"Looking for help planning a round trip jaunt from Changsha to Beijing, Guangzhou, Wenzhou for with pets and with children and road trip. We are 3 travelers and we'll stay 9 days, need 2 hotel room(s), and our collective budget is 6666. It would be great to visit Water Cube (National Aquatics Center) while in Beijing.",hard,"['with pets', 'with children', 'road trip']","{'person_num': 3, 'budget': '6666', 'days': 9}","{'departure_city': 'Changsha', 'arrival_city': ['Beijing', 'Guangzhou', 'Wenzhou'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': ['Water Cube (National Aquatics Center)']},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['with pets', 'with children', 'road trip']}",1.0,0.0,8
"Want to visit Stuttgart, Frankfurt am Main from Belgrade for photography and disabled traveler and elderly travelers! It's 4 of us, 6 days, 2 hotel room(s), one way flight. Can we keep it all under 6666? We'd like to rent a Wagon that seats 5 people, about 107.44 USD per day.",hard,"['photography', 'disabled traveler', 'elderly travelers']","{'person_num': 4, 'budget': '6666', 'days': 6}","{'departure_city': 'Belgrade', 'arrival_city': ['Stuttgart', 'Frankfurt am Main'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '107.44', 'car_type': 'Wagon', 'capacity': '5'}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['photography', 'disabled traveler', 'elderly travelers']}",1.0,0.0,7
"Could you plan a one way expedition for 5 travelers from Albuquerque to Austin, Santa Ana for nightlife enthusiast and foodie and business travelers. We'll stay 6 days, need 3 hotel room(s), and our collective budget is 8300 USD. It would be amazing to visit Wonder Austin Park if possible.",hard,"['nightlife enthusiast', 'foodie', 'business travelers']","{'person_num': 5, 'budget': '8300', 'days': 6}","{'departure_city': 'Albuquerque', 'arrival_city': ['Austin', 'Santa Ana'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '3'}",{'name': ['Wonder Austin Park']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['nightlife enthusiast', 'foodie', 'business travelers']}",1.0,1.0,8
"I'm dreaming of a round trip escape for 4 travelers from Syracuse to Albuquerque, Anchorage, Buffalo for photography and couples trip and fast-Paced budget travel. We'll stay 9 days, need 2 hotel room(s), and our collective budget is 7700 USD. It would be amazing to visit Extreme Albuquerque Zoo if possible.",hard,"['photography', 'couples trip', 'fast-Paced budget travel']","{'person_num': 4, 'budget': '7700', 'days': 9}","{'departure_city': 'Syracuse', 'arrival_city': ['Albuquerque', 'Anchorage', 'Buffalo'], 'trip_type': 'round', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '2'}",{'name': ['Extreme Albuquerque Zoo']},{'cities_count': 3},"{'implicit_keywords_count': 3, 'implicit_keyword': ['photography', 'couples trip', 'fast-Paced budget travel']}",1.0,1.0,9
"Help me organize a trip from Beirut to Rome, Addis Ababa for couples trip and disabled traveler and foodie. We'll be 2 in total, want to stay 6 days, need 1 hotel room(s), and are looking for a one way flight. We'd like to keep expenses under 6666. Maybe stay at Rome Resort Hotel 67, which is well rated and has 2.5-star, for about 47.0 USD per night.",hard,"['couples trip', 'disabled traveler', 'foodie']","{'person_num': 2, 'budget': '6666', 'days': 6}","{'departure_city': 'Beirut', 'arrival_city': ['Rome', 'Addis Ababa'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': 'Rome Resort Hotel 67', 'price': '47.0', 'star': '2.5', 'rating': '8.4', 'rooms_count': '1'}",{'name': []},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['couples trip', 'disabled traveler', 'foodie']}",1.0,0.0,7
"I'm arranging a one way tour from Albuquerque to Columbus, Indianapolis for disabled traveler and luxury travelers and foodie. We are 5 travelers and we'll stay 6 days, need 3 hotel room(s), and our collective budget is 9500 USD. It would be amazing to visit Secret Columbus Lake if possible.",hard,"['disabled traveler', 'luxury travelers', 'foodie']","{'person_num': 5, 'budget': '9500', 'days': 6}","{'departure_city': 'Albuquerque', 'arrival_city': ['Columbus', 'Indianapolis'], 'trip_type': 'one_way', 'price': ''}","{'price_per_day': '', 'car_type': '', 'capacity': ''}","{'name': '', 'price': '', 'star': '', 'rating': '', 'rooms_count': '3'}",{'name': ['Secret Columbus Lake']},{'cities_count': 2},"{'implicit_keywords_count': 3, 'implicit_keyword': ['disabled traveler', 'luxury travelers', 'foodie']}",1.0,1.0,8
